,Unemployment rate,UMich Consumer Sentiment,Core CPI
2015-12-01,5.0,92.6,2.437497
2016-01-01,4.8,92.0,2.460879
2016-02-01,4.9,91.7,2.538253
2016-03-01,5.0,91.0,2.526214
2016-04-01,5.1,89.0,2.53143
2016-05-01,4.8,94.7,2.565678
2016-06-01,4.9,93.5,2.563629
2016-07-01,4.8,90.0,2.569655
2016-08-01,4.9,89.8,2.716347
2016-09-01,5.0,91.2,2.624799
2016-10-01,4.9,87.2,2.502268
2016-11-01,4.7,93.8,2.518564
2016-12-01,4.7,98.2,2.585286
2017-01-01,4.7,98.5,2.651739
2017-02-01,4.6,96.3,2.664566
2017-03-01,4.4,96.9,2.436586
2017-04-01,4.4,97.0,2.235672
2017-05-01,4.4,97.1,2.139634
2017-06-01,4.3,95.0,2.122109
2017-07-01,4.3,93.4,2.131777
2017-08-01,4.4,96.8,2.075047
2017-09-01,4.3,95.1,2.091354
2017-10-01,4.2,100.7,2.177581
2017-11-01,4.2,98.5,2.099803
2017-12-01,4.1,95.9,2.117186
2018-01-01,4.0,95.7,2.157823
2018-02-01,4.1,99.7,2.123101
2018-03-01,4.0,101.4,2.366926
2018-04-01,4.0,98.8,2.491592
2018-05-01,3.8,98.0,2.543212
2018-06-01,4.0,98.2,2.551897
2018-07-01,3.8,97.9,2.518753
2018-08-01,3.8,96.2,2.432443
2018-09-01,3.7,100.1,2.462881
2018-10-01,3.8,98.6,2.415236
2018-11-01,3.8,97.5,2.476418
2018-12-01,3.9,98.3,2.456173
2019-01-01,4.0,91.2,2.375054
2019-02-01,3.8,93.8,2.375943
2019-03-01,3.8,98.4,2.356946
2019-04-01,3.7,97.2,2.392773
2019-05-01,3.6,100.0,2.360903
2019-06-01,3.6,98.2,2.392597
2019-07-01,3.7,98.4,2.475923
2019-08-01,3.6,89.8,2.630398
2019-09-01,3.5,93.2,2.622934
2019-10-01,3.6,95.5,2.747596
2019-11-01,3.6,96.8,2.772021
2019-12-01,3.6,99.3,2.752609
2020-01-01,3.6,99.8,2.800205
2020-02-01,3.5,101.0,2.792299
2020-03-01,4.4,89.1,2.592275
2020-04-01,14.8,71.8,2.160688
2020-05-01,13.2,72.3,2.000025
2020-06-01,11.0,78.1,1.998261
2020-07-01,10.2,72.5,2.287039
2020-08-01,8.4,74.1,2.22202
2020-09-01,7.8,80.4,1.991587
2020-10-01,6.9,81.8,1.74961
2020-11-01,6.7,76.9,1.707378
2020-12-01,6.7,80.7,1.603908
2021-01-01,6.4,79.0,1.391588
2021-02-01,6.2,76.8,1.403014
2021-03-01,6.1,84.9,1.592602
2021-04-01,6.1,88.3,2.212664
2021-05-01,5.8,82.9,2.569395
2021-06-01,5.9,85.5,2.564809
2021-07-01,5.4,81.2,2.330438
2021-08-01,5.1,70.3,2.335721
2021-09-01,4.7,72.8,2.607496
2021-10-01,4.5,71.7,3.009235
2021-11-01,4.2,67.4,3.189375
2021-12-01,3.9,70.6,3.458986
2022-01-01,4.0,67.2,3.966999
2022-02-01,3.8,62.8,4.2841
2022-03-01,3.7,59.4,4.538679
2022-04-01,3.7,65.2,4.70841
2022-05-01,3.6,58.4,4.956489
2022-06-01,3.6,50.0,5.40253
2022-07-01,3.5,51.5,5.593246
2022-08-01,3.6,58.2,5.952632
2022-09-01,3.5,58.6,6.344649
2022-10-01,3.6,59.9,6.315609
2022-11-01,3.6,56.7,6.430319
2022-12-01,3.5,59.8,6.545514
2023-01-01,3.5,64.9,6.488339
2023-02-01,3.6,66.9,6.526576
2023-03-01,3.5,62.0,6.390646
2023-04-01,3.4,63.7,6.267738
2023-05-01,3.6,59.0,5.978883
2023-06-01,3.6,64.2,5.588761
2023-07-01,3.5,71.5,5.402919
2023-08-01,3.7,69.4,5.169678
2023-09-01,3.8,67.8,4.955445
2023-10-01,3.9,63.8,4.882717
2023-11-01,3.7,61.3,4.691251
2023-12-01,3.8,69.7,4.557667
2024-01-01,3.7,79.0,4.601332
2024-02-01,3.9,76.9,4.400073
2024-03-01,3.9,79.4,4.502758
2024-04-01,3.9,77.2,4.403618
2024-05-01,4.0,69.1,4.300148
2024-06-01,4.1,68.2,4.234733
2024-07-01,4.2,66.4,4.179707
2024-08-01,4.2,67.9,4.112096
2024-09-01,4.1,70.3,4.012724
2024-10-01,4.1,70.5,3.963395
2024-11-01,4.2,71.8,3.876177
2024-12-01,4.1,74.0,3.746553
2025-01-01,4.0,71.7,3.625276327
2025-02-01,4.1,64.7,3.516515255
2025-03-01,4.2,57.0,3.257815123
2025-04-01,4.2,52.2,3.176689863
2025-05-01,4.2,52.2,3.15913105
2025-06-01,4.1,60.7,3.288774014
2025-07-01,4.2,61.7,3.419810534
2025-08-01,4.3,58.2,3.4
